content,Label
"Hallo wangsaff aku maw minta tolong, tolong baned wangsaf bila 10 menit karna dia gamau ngasih hutang ke aku, padahal aku sangat ingin gelori 1k plis wangsaf kamu kan baik bgt",positif
Mantap aplikasinya memuaskan,positif
Wau,positif
Sangat begunah,positif
Memuaskan,positif
ACHLAN,positif
Cukup puas,positif
Mangkin parah ni aplikasi tak ada kualitas,negatif
bagus 👍,positif
WoW,positif
Sementara sering problem,negatif
Update ngk rekomendasi mendingan versi yg kemarin,positif
Update gak bisa,positif
Muantappp,positif
Penilaian saya: 10000000000000000000000000000000+,positif
Baik sekali,positif
Bagus,positif
Antok bae,positif
Oke si,positif
Mantap,positif
WhatsApp bagus bagus bangeeeeettttttttt,positif
Sibuk,positif
Mantap,positif
Wa nya sangat bagu,positif
Bagus sngat memuaskan,netral
medsos no.1 di indonesia,positif
Puas,positif
Baguss,positif
Whatsapp udh gak jelas mksdnya apa coba akun saya tidk bsa di gunakan. Ada yg melaporkan nomor saya.mlh nomor saya gk bsa di gunakn. Kecewa sekali,negatif
Apk sangat bermanfaat,negatif
makin keren,positif
status video org yg di kirim kan gk bisa di buka,negatif
Debest WhatsaApp ini debest bngt lah pokok nya love love💚,positif
maju terus .. stiap upgrade harus spesifikasi,positif
Bagus,positif
Mantap,positif
membantu,positif
"Skrg kurang baik dn kurang bguss deh, krna terakhir aku update saat 5 juni lah ini 9 juni harus udh di update lgi,, gmn si trs juga apk di hpku sdkit bgt, cuma demi nge update whtsaap, 2 apk kesayanganku hrs dihapuusss krna klo cm 1 yg dihapus ga bisa buat update iihhh 😒",negatif
"Tolong diperhatikan, saya membuat komunitas di grup tapi karena saya cuman iseng saya membuat komunitas tapi ada penguman , saya pengen hapus pengumuna tapi harus di nonaktifkan jadi saya lupa saya pencet keluar komunitas jadi pengumuman nya gak bisa di hapus karena harus di nonaktifkan jadi permanen tu pengumumannya gak bisa keluar gak bisa di paksa. Tolong bisa keluar dari pengumumannya soal nya jadi permanen gak bisa keluar haruskah di nonaktifkan, komunitas nya udah ke hapus",positif
Mantaaapp,netral
Y bagus aman dan y GG,positif
Terlalau sering diperbarui,positif
bagus ya wa nya,negatif
Siiip,positif
Sangat membantu,netral
Menurut aku sih bangus banget sih,positif
Bagus,positif
😘😘😘😘😘,positif
Adit tia,negatif
Wa saya tiba² di bandung gak jelas,negatif
Aplikasi initiative jelek,negatif
Bagud,positif
Pariyo,positif
grafik nya buremm bangett apalagi kalau bikin sg,netral
Karna bagus,positif
Bagus,negatif
Keren,positif
Bagus,positif
Kepada pihak developer WhatsApp tolong status WhatsApp di buat lebih lama lagi jagan 30 detik dan kirim lagu jagan 16 mb aku mau kirim lagu di atas 16 mb gk bisa tolong di buat 100 mb terima kasih,positif
Goog game,positif
Bagus,positif
Is the best pokoknya,positif
Baik good,positif
Atina putri,positif
Jadi mudah berkomunikasi dan share informasi,positif
Bagus bangat,positif
Gak pernah yoba,positif
Sangt mantap,positif
ini wa knp si? ko ngedukung banget buat perselingkuhan pake segala ada fitur kunci cht😒,netral
👍,netral
Masih ada 3 hal penting yg saya kira perlu diperhatikan juga a.l: 1) tambahkan donk pilihan untuk menyimpan media ke SD card. 2) Kualitas Video dan Foto (Media) yg di kirim kalo bisa mengakomodir kwalitas HD. 3) tambahkan fitur untuk admin grup bisa mengontrol member grupnya salah satunya member dlm grup tidak keluar masuk grup tanpa diijinkan dl oleh admin grup. bintang 5 kalo sudah di akomodir,negatif
Bagus Knp selalu Di block whatsapp,positif
Kenapa wa nya gk bisa update gimana ini,positif
yang sudah ada,positif
Baik,positif
Bisa,positif
Wasaf cukup membantu di bidang informasi yg bersifat mendunia . Yg harus tetap kita wasfadahi siapa tau ada pihak yg menyalagunakan layanan wasaf ini yg merusak persendian teknelogi dan enformasi yg dikelolah oleh wasaf mksih,positif
Astagfirullah hal azim,positif
Sangat bagus,positif
Bagus karena ada fitur baru,positif
👌,positif
Terima kasih whatsapp,positif
"Suara suka terputus putus,",positif
Update trs,positif
Ngirim dokumen knp jadi hrus 1-1?!!!! Males banget,negatif
Yoww,positif
T1dak bisa buka wa,positif
semoga tidak eror,positif
okeh,positif
Mantap,positif
Saya kasih bintang lima karena apk nya bagus,positif
Mantap,positif
Sangat bagus,positif
"Aplikasinya bagus dan cocok untuk komunikasi jarak jauh, cuma terkadang putus putus mohon di perkuat jaringan nya terkadang ilang",positif
Ok,positif
Lbih ribet,negatif
Pokokx dengan aplikasi ini semua silaturahmi jdi mudah,positif
Aplikasi ini sangat membantu saya,positif
Kerja bagus,negatif
Kenapa WhatsApp ku sudah di daftar kok di suruh ganti nomor baru,positif
Kenapa gak bisa di instal ya,positif
Sangat puas,positif
3 dulu kalau bagus baru aku tambahin,netral
👍,positif
L 5gaz,positif
Nyobak dulu,negatif
Seruuuuu,positif
Susah,positif
Sangat membantu,positif
Kenapa whatsapp koq sering kadaluwarsa,negatif
Manut wae,positif
Sangat mudah untuk berkomunikasi,positif
Bagus,positif
Mantap,netral
WhatApp ini sangat seru dan menarik untuk menelfon teman ki,positif
Luar biasa,positif
Biasa saja,positif
"Bagus,mantap",positif
joging,positif
Ntah knpa akunku keblokir permanen,positif
Ok,positif
Hhhhhhhhhuu,positif
baik,positif
Bgus ..bget..tpi Syang.klau buat vcann..gk bsa vdiony gk bgus ..buram..pdhl hp bgus..Oppo a15s.. sdangkan ak..prnh pke hp teman yg hpny biasa..buat vcnn..vdiony bgus gambarny...ksih bintang 3 aj .kurg luas,netral
Whatsapp kenapa gtidak aktif,positif
"Tambah jelek pak,bagusan yang dulu, menambahkan fitur tapi juga menghilangkan fitur yang dulu aaaaa eeek",netral
Bagus banget,positif
saya senang,positif
Peggunaan whatsapp Masih Ada kendala.,positif
Oprasi al,positif
Sangat membantu,positif
Sangat bagus,positif
Terlalu sering update,positif
Usefull,positif
Memuaskan,positif
WhatsAp sangat bagus dan sangat membantu,positif
Sangat membantu kami dlm hal informasi,positif
"Wa sering keblokir otomatis heran jadinya, alasan spam padahal ngobrol biasa tidak ada yang melanggar, kalau sistem tidak bisa membaca bahasa daerah di tingkatkan dong sistemnya bukan akunnya yg di blokir",positif
Sekarang wa nggak ada privasinya lebih dijaga dong harusnya,negatif
cara memperbarui whatsapp,negatif
Bermanfaat,positif
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,positif
Ok,netral
Bagus,netral
bagus,positif
Sewenang wenang,negatif
Achmad suyarno,positif
sangat nyaman,positif
"ga suka anis di update, lebih suka yg dulu",negatif
"kenapa makin di update makin bnyak pemakaian ruang sih,ini parah banget sih...",negatif
Bagus,positif
Bagus,positif
Baik,positif
goof,positif
"bagus,,sangat membantu n simple",positif
Baik,negatif
Bagus utk informasi dan pesan2 penting,positif
Tidak bisa mengirim lagu,negatif
"Aplikasi WhatsApp sangat membatu juga,,dalam komunikasi",positif
Bagus,positif
Sudah baik,positif
Ok bangetaplikasi ini,netral
"Every 1 week, it's always updated, instead of adding bags, it's even worse, please fix it again",negatif
bagus untuk nelpon,positif
Benar2sangat membantu saya untuk berkomunikasi Terimakasih whatsapp! Daftar,netral
Sangat mendukung,positif
Kenapa wa ku di blokir beberapa hari ini emang kenapa lama lama ok gini WhatsApp sekarang,negatif
Aflikasi bagussssss hebat,positif
Aplikasii nya suangat bagus buat mengrim pesann,positif
"Kek WA GB update terbaru, gajelas",negatif
Memuaskan,positif
ini sangat baik,positif
Good,netral
Sangat baik,positif
"Aplikasinya sangat membantu , tapi ahir ahir ini sering terjadi error pada pemulihan chat yg mengakibatkan chat terbaca 5 hari di tanggal sebelunnya , tolong di perbaiki lagi aplikasinya",negatif
Jangan Terlalu sering diupdate,netral
Mantap...,positif
👍,positif
bagus,positif
Asik,netral
Mantap,positif
Mantap,positif
Bagus sangat membantu,positif
Oke,netral
kurang bagus,positif
Wiryo,netral
Gak bisa masuk ha di sebelah deh aku,positif
Video buram,negatif
Saya senang sekali karena mengunakan aplikasi WhatsApp messenger untuk Android,positif
cara buka wacsap kna spam atau kna apa mohon pulihkan,negatif
Teologia Praktis,positif
Sangat berguna,positif
Bagus,positif
"Jangan sampai cht grup telpon di bawah😭😭, mending tema nya di ganti jangan item putih trs sama tulisan",positif
Knp mesti di unduh,negatif
Sangat baik,positif
Bagus,positif
Saya puas dengan WA mudah dan lancar,positif
Sangat bagus,netral
(opsional),positif
Sang at baik,positif
"Sebagai orang yg harus sedikit dikit foto,sekarang kamera nya sudah buram dan gak enak aja kalo di pakai buat fotoan seperti versi kamera lama.",negatif
Keren,positif
Mohon.diperbarui.whats.app... mohon diperbaiki WhatsApp kami tolong,netral
Sangat cocok untuk kita semua,positif
Sangat berguna,positif
Assalamu'alaikum ini gimana si ko ke blokir lagi saya mohon jangan di blokir lagi ya kak,positif
Baik5,netral
AGU EKO,positif
Ini gi mana iya ko ke blomir terus,positif
Sangat bermanfaat,positif
Bagus 👍👍👍,positif
👍🏻,positif
Oke,positif
Ridwan 12345,netral
tolonglah wa kalau user belum mengupdate jangan lgsg di restart chatnya manatau user blm ada paket atau memory yg tidak mendukung bisa sja chat chat nya yg kehapus itu penting,positif
Kren bgt,positif
WhatsApp saya gak bisa untu,positif
Jos,positif
Cara membuat wa,positif
Bismilah,positif
Mrida maoolidia,positif
Sangat bagus,positif
Bagus sangat membantu,positif
Mantap,positif
bgus,positif
Bagusss,positif
Sulit sekali d update...sampai sekarang pun blm bisa,negatif
Nice,positif
Oke,netral
Wa sekarang mh ga kaya dlu sekarang klo mo bikin Sw tuh suka Burem poto maupun video,positif
", CC",negatif
Angel mlbu gaiso dadak,negatif
Mantap,positif
Ok,positif
Bagus bgt apk nya aku suka🤗🤗,positif
"Saya sangat terbantu dgn ada WhatsApp,semoga semakin maju dan semakin lebih canggih lagi kedepannya",positif
Bagus,netral
Pembaruanya bukannya semakin bagus malah semakin ngak jelas,netral
"Dari sekian banyak komen yg ku baca,jd gw punya kesimpulan untuk tidak mengupdate",negatif
Aplikasi nya bagussss bngt sangat membantu bngt kami yg jauh dari keluarga buat vc an atou pun sms..,positif
Ok,positif
Dah update tapi kok sinyalnya muter muter,netral
sangat baik,positif
Ok 😊🙏,positif
akun saya,positif
Yang terhormat admin WhatsApp kenapa akun WhatsApp Saya terblokir saya rasa tidak melakukan kesalahan-yang patal,positif
bagus irit ongkos berkat WhatsApp,positif
bahasaindonesia,negatif
ok,positif
bermain,positif
Sangat baik,positif
Diam-diam bikin penuh memori udah jangan cadangkan pesan tetep aja cadangkan,negatif
Saya sudah lama menggunakan whatsApp,positif
"Keseluruhan bagus,cuma bisa ga ditambahin buat mention temen,terus ada efek buat vc hehe🙏🏻",positif
Oke,positif
Aplikasi ny sangat bagus,positif
Mohon perbarui watsap saya,positif
Aplikasi yang sangat membantu,positif
Tidak dapat login harua diperbarui sudah diperbarui tetap tidak bisa. Cra loginnya bagaimana?,positif
"Aplikasi bagus ,ditambah ada fitur baru nya, nanti kalo mau update lagi bisa gak ya ada fitur tag /mention temen,trus bisa direpost juga,saya sangat menginginkan fitur itu, terimakasih 🙏",positif
Ok,positif
Sangat membantu bagi kami,positif
Nama marnisegep lahir tgl 1987,negatif
Saya kecewa dengan WhatsApp saya sudah 1 Minggu gak dapet kode verifikasi,negatif
Dr dr no,positif
Bagus bgt,positif
Buat wa versi tanpa internet,negatif
Sekian lama pakai wa...kok di blokir ...aneh,negatif
"Tolong benerin bugnya dong, masa kontak cewek saya gak ada pp sama ceklis gak ada infonya juga. Sama ituu dia sibuk dari tahun 1970an masa,yang bener azaa",negatif
Sangat baik,positif
Ok,negatif
Sangat berguna untuk berkomunikasi,positif
It's will great if this app release video call also...just one app on the go .. waiting for it ..,positif
Apk nya bagus dapat membantu saya dalam memberi info,positif
Mantap,negatif
Apa yg anda fikir,positif
Mantap,positif
Ok,positif
Bagus sangat membantu,positif
Mamtap,positif
Aplikasi yang sangat membantu saling terhubung,positif
Ok,positif
Ok,positif
Wa,positif
Sangat membantu,positif
Semoga berkah selalu,netral
baik,positif
Mencoba,positif
Baguus oke,positif
Bagus,positif
"kenapa wa saya ketika dalam panggilan suara lawan bicara sangat kecil bahkan bisa dibilang tidak terdengar padahal sudah paling maksimal, dan ketika dengar musik dan video normal normal saja tidak ada kendala",netral
Sngat.bagus,positif
Mudahan dengan versi terbaru tdk lemot,positif
menerti,positif
Jangan paksa kami untuk mengunduh,negatif
"Seharusnya ada efek beauty ketika video call, biar lebih bagus lagi....",positif
Tampilanny ky bbm jaman dulu,netral
Sedih,positif
Bermain,netral
Baik sangat membantu.,positif
Aplikasi chat yg mudah di gunakan dan mudah di pakai. Aplikasi WhatsApp atau paling banyak di sebut WA adalah aplikasi yg memudah kan kita utk berkomunikasi dengan wilayah sekitar kita,positif
Lelet,negatif
Aplikasi yang sangat membantu,positif
Ga ada yang ngechat gw!,negatif
Sangat bagus,positif
Aplikasi komunikasi paling penting,positif
Ok,positif
Tolong perbarui antarmuka aplikasi menjadi lebih simpel dan efektif. Terima kasih!,netral
"paan banged ni wa, butut emote nya pd jelek"" huuu butut butut",negatif
Knpa whatsaap saya eror . Tidak bisa menampilkan setatus di whatsaap.,positif
No saya di. Blokir bagaimana cara agar bisa pulih kbali,negatif
Lumbayan,netral
Eror gak bisa di update,negatif
👍👍👍👍,positif
Lebih lancar,positif
WhatsApp,negatif
Bagus,positif
Kenapa haruss ada kaldaluarsanya,negatif
Aplikasi ini sangat membantu saya,positif
Tolong perbaiki biar saya nyaman memakai whtsapp,positif
Mantap,positif
"Sy mohon aktifkan whstapp saya tolong, di aktifkan lagi mungkin sy salah pencet",positif
"Ngga paham lagi setiap update status selalu ngeblur, itu mengganggu banget.. 🙏",positif
Keren,positif
Ok bagus,positif
Kenapa saya tak bisa menggunakan wesAp,netral
"Kenapa nomer wa saya di blokir? Kacau pengguna 2 tahun tiba tiba di blokir apaan, tidak melakukan kesalahan apaoun, taik!",negatif
Yes ok,positif
"Jangan mandang isi caht lah kntl, mentang² wa gw sepi jadi pas update gk di kasi perbuhan sama fitur² barunya kntl lah.",negatif
Aplikasi yang sudah membantu Dalam mengirim pesan dan telepon,positif
Keren,positif
Q beri bintang 5 aplikasinya bgus,positif
Woy ngtd hapus emot ini😭 jadi bingung aing anj ganti aja emot itu sama emot pragos,negatif
Makin update makin ga bagus masa vidcall kameranya crash padahal di Samsung s23U,negatif
Sangat baik,positif
baguss...👍,positif
ll llyalllll l o o o o oklllo l9 l,positif
Pliss ilangin fitur nonaktip kn centang biru,positif
Top,positif
Keren bgt saya suka,positif
Gombal wedus 💣💨🗯💜💝💞,negatif
Mantap,positif
Tinggal menunggu bsa live eheh,positif
"Saat video call selalu aja tiba-tiba crash crash dan crash, why brother? Tolonglah minta benerin virus atau apapun itu yang bisa menyebabkan crash Biar bisa seperti dulu Pada dulu tuh bagus banget gak ada crash crash nya",negatif
Bgs,positif
keren si,positif
Bagus,positif
Syukk ra ono sing chat🙈,negatif
"Ini gimana solusinya, udah 4 kali dalam setahun wa gw tiba2 muncul pesan sedang menunggu blablabla terus berjam2 ditungguin ngga ada perubahan, katanya soal koneksi atau wa nya versi lama tapi sebaliknya jaringan bagus wa versi terbaru kok malah gitu, tolong lahh solusinya",positif
Sudah cukup baik,positif
Paten👍,positif
WhatsApp saya knp nih Ko ga bisa di buka Padahal nomer bener,positif
Sangat membantu !,positif
For the first place and time again for your help with anything else to do that again please let me know if you are a lot of time to go to 😴 with me to come back,positif
Lov lop,positif
Iyan,positif
Okokkkk...aja,positif
"Apk nya sekarang sangat membantu untuk orang"" yang suka selingkuh",positif
WhatsApp di aktifkan kembali kami mohon team WhatsApp,netral
"Lbh cepat, lbh akurat dn nyaman",positif
OK mantap,positif
Bagus,positif
Sayah.emang.lagi.butuh.it r.y.50--jta.sedit.sih.cuman.,positif
Luar biasa membantu,netral
Mantap,positif
Kerjasama,positif
Aku bukan pengemis cuenta,negatif
Klau bisa wa status video diperpanjang 1 menit atau lebih,positif
Bgus,positif
Ral,negatif
"WhatsApp skrng jadi jelek ,,",negatif
adain emoticon janji kelingking dong,positif
Ok,positif
Sangat bagus,positif
Mantap,positif
Bagus,positif
Good job,positif
Mantap,positif
Donwlot lah apk ini,positif
"No wa gua tiba"" keblokir",negatif
Baik..membantu komunikasi chatting call/video call.karna jaman skarang komunikasi rata2 pke whatsapp.,positif
Bagus dan membantu,positif
Resolusi status tolong jangan dikompres,netral
Wa semakin ribet dan kalo pindah ke status atau ke chat udah gk bisa lagi slide ke samping.. Pdahal lebih mudah gitu,negatif
Putut baru nya g ad yg menarik,positif
",. % . z, .,. ,%'. , . Xa. . . ,"".? s, ., . . . *@,. s2 ,, ,,3 , ,, ,gs3. ,,we. . . , var , ., q , ,.,.,;' '. ;,@3%×3 , gej &÷ , .? . ,: 2 , ., . s3 ,d, , ,. s, . . m,cl. ,+ .z , ,x lj , vez, ., ., , w . *. ;,@82 , , , .z3, 3, ,s G2zge ,,af , . , ,.. ..",negatif
Setelah d upgrade malah GK bisa kirim foto dan video .. Tolong d perbaiki LG dong ...,negatif
Ngak bisa dipasang min,negatif
Bagus,positif
Bagus,positif
"Tingkatkan performa, akurasi, stabilitas, keamanan, privasi pengguna, kecepatan akses, dan fitur aplikasinya.",positif
Nice,positif
Mantab,positif
Mantap,positif
Bagus,positif
"Aplikasi kirim pesan yg simpel cukup untuk keseharian, mungkin kalo ada fitur edit pesan WhatsApp akan makin keren...",positif
Kenapa whatsapp saya sering kena spam ya??saya masukan no yg di whatsapp kok gk bs knpa ya nie??,negatif
Kak.. Mintanp wa yg biasa ada ga,positif
Mantap,positif
Ok banget,positif
Keren,netral
Good,positif
Bagusss,positif
Siip,positif
Keren,positif
Bsgus banget,positif
Tidak pakai kata sandi pakai,positif
"wa makij di update makin gak jelas, jelek bubblenya dibawah",netral
Bagus,positif
"Makin ga jelas, setiap saya mau login wa saya ada peringatan harus memakai whatsapp resmi, pdhal saya memakai whatsapp resmi.",negatif
Chatku ga dibales ayang ;(,positif
"Sering bug gjls,dan jg g bs msk ke wa ny",negatif
Bgs,positif
👍,positif
Tolong lahh bang fitur semua pengiriman foto ataupun video status kasih yang jernih masa MB video sudah besar jernih dipost status malah jadi buram tolong update lagi 🙏,positif
gege kli,positif
"WhatsApp memang bagus tapi kenapa kalo kita kirim video kualitas HD kok malah jadi SD, tolong kerjasama nya",netral
Mantap,positif
"Ini gimana sih. Kok dikit keblokir setiap habis nyambangjn ke web . Astaga kok sekarang jadi kayak gini sih, susah amat ini buat tugas kuliah kalau ga disambungin ke web. Tolong kerjasamanya dan diperbaiki aplikasinya",negatif
Saya senang dengan memakai aplikasi whassatpp ini.tpi kenapa no telp saya bermasalah terus,positif
Good yes,positif
Ok,positif
Mantap,positif
Sangat baik,positif
Senang Nyaman,positif
Mantap,positif
Ok bos,positif
GOOOOOO,positif
Luar Biasa...!!!!,positif
Mantap,positif
Jd lemottt,negatif
Top,positif
"Tolong hapus fitur reaksi,karena saya benci ketika saya chat cuman direspon reaksi",negatif
Aplikasinya bagus Dan menyenangkan untuk Di pakai,netral
Kok saya GadA yng ngechet ya min,positif
Sangat memuaskan,negatif
Dek dik bagus,positif
kamera depan belakang pas vidio call buram,netral
Lumayan bagus,positif
Ahhhaii,negatif
Bagus,positif
Good 👍👍,positif
WhatsApp Messenger .. notifikasi tidak muncul ya WA .. 5-6-2023 ...,positif
"Pengalaman saya WhatsApp bagus sekali,bisa membatu saya dalam berkomunikasi sama,saudara2,saya.makasi banyak,whatsapp",positif
👍,positif
Goooddd,positif
Ok,positif
"Applikasi yg cukup keren, dengan mempunyai applikasi ini kita jdi mudh untuk berkomunikasi",positif
Well,positif
Bagus,positif
Sangat membantu,positif
👍👍👍,netral
Baik,positif
Petani,positif
"ni WhatsApp kenapa ya? makin sini malah aneh, setiap lagi call masa sering banget reconnecting? padahal sinyal selalu ada dan selalu bagus?! ppq",negatif
Kenapa kode verifikasi tidak muncul harus menunggu 24 jam tolong bantuan nya,negatif
Siiiip,positif
saya mau waa,positif
Ik,positif
Baru mau pakai,netral
Aplikasi sejuta umat,positif
Bagus banget,positif
Whatshap ini sangatlah penting bagi saya.,positif
ini kenapa y setiap ngirim video ke status ko jadi buram gitu tolong perbaikin donk,netral
Bagus,positif
Ok bangettt,positif
Saya tidak bisa mendapatkan nomer verifikasi SMS.selalu gagal.,negatif
Baguss,positif
"Parah.. berkali-kali akun wa saya keluar sendiri dengan alasan tidak bisa dipergunakan, lalu udah berkali-kali ditinjau tapi ketika sudah benar lagi, EH BESOKNYA BEGINI LAGI, kenapa saya jadi makin ga nyaman sama aplikasi ini ya katanya keamanan nya berlapis kok ngeluarin akun orang sembarangan...",negatif
Bagus dan sangat membantu.,positif
Sangat bagus,positif
"Mohon maaf, tolong perbaiki sistem nya. Untuk memperkecil gambar pada videocall masih terlalu besar dari biasanya dan juga masih eror/no respons. Dan untuk upload story masih juga pecah pada gambar. Terimakasih",negatif
Mantap,positif
keren,positif
Jadi prioritas buat komunikasi masa kini👍👍,positif
Tidak baguss😖,negatif
Sangat bagus,positif
wa itu kesayangan saya karena wa itu bisa nyimpen nomor sipaaja,positif
Muhammad irul,positif
Watsaap,positif
Mantap,positif
Ok,positif
"Apaan sih buka wa kaya buka apk berbayar saja, dikit2 iklan pdhl lagi ga buka wa, ribet",negatif
YTTA,positif
Baik,positif
"Kalo dikecilin layar nya kaya patah""",positif
Suka,positif
Wa,positif
Mantabbbb,positif
"saya tidak memiliki masalah dengan aplikasinya, tapi saya mengajukan untuk emojinya di buat lebih menarik, seperti bisa bergerak dan mempunyai animasi tersendiri agar tidak membosankan, terimakasih wir😁",positif
Kasih 2 karna setelah updat kurang maksimal,positif
Ok... Thank's,positif
Mantap,positif
Untuk bikin status dgn mencantumkan foto atau vidio sangat di sayangkan gambar nya sedikit pecah tdk sebagus pada saat kirim foto di chat.,positif
Sama kasih 5 bitang,positif
Yang sekarang kurang enak enakan yang dulu,negatif
Aplikasi wa terhapus,positif
